course_id,course_title,url,level,subject,FrameWork,Language
8324,Javascript for Beginners,https://www.udemy.com/beginning-javascript/,Beginner Level,Web / FrontEnd,-,javascript
8325,HTML Tutorial: HTML & CSS for Beginners,https://www.udemy.com/learn-html5/,Beginner Level,Web / FrontEnd,-,HTML
9463,Programming Java for Beginners - The Ultimate Java Tutorial,https://www.udemy.comhttps://www.udemy.com/course/learn-to-program-with-java/,Beginner Level,Mobile,-,Java
11153,Learn jQuery: An In-depth Course For Beginners,https://www.udemy.com/jquery/,Beginner Level,Web / FrontEnd,jQuery,-
12975,Introduction to Java Programming for Online Learners,https://www.udemy.comhttps://www.udemy.com/course/learning-to-program-in-java-a-supplement-for-online-academic-learners/,Beginner Level,Mobile,-,Java
14571,Learn HTML5 At Your Own Pace. Ideal for Beginners,https://www.udemy.com/learning-html5/,Beginner Level,Web / FrontEnd,-,HTML
16646,Web Programming with Python,https://www.udemy.com/web-programming-with-python/,Beginner Level,Data Science,Python,-
17887,JavaScript with BackboneJS and Bootstrap CSS - Advanced,https://www.udemy.com/advanced-javascript-with-backbonejs-and-bootstrap-css/,Expert Level,Web / FrontEnd,-,javascript
18276,Java Programming using Eclipse: An Introduction,https://www.udemy.comhttps://www.udemy.com/course/programming-java/,Beginner Level,Mobile,-,Java
18448,Learning CSS3 - A Comprehensive Tutorial For Web Developers,https://www.udemy.com/learning-css3/,Expert Level,Web / FrontEnd,-,CSS
21386,Beginner Photoshop to HTML5 and CSS3,https://www.udemy.com/psd-html5-css3/,Beginner Level,Web / FrontEnd,-,CSS
25615,Login and Registration from Scratch with PHP and MySQL,https://www.udemy.com/authentication-from-scratch-with-php-and-mysql/,Beginner Level,Data Analysis,SQL,-
26845,Advanced HTML5 Tutorial for Web Developers,https://www.udemy.com/advanced-html5-for-web-developers/,Expert Level,Web / FrontEnd,-,HTML
28295,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,Beginner Level,Web / FrontEnd,-,HTML
28295,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,Beginner Level,Web / FrontEnd,-,HTML
28373,Advanced Java Programming,https://www.udemy.comhttps://www.udemy.com/course/advanced-java-programming/,Expert Level,Mobile,-,Java
30243,Mastering HTML5 Programming - The Easier Way,https://www.udemy.com/html5-programming-tutorials/,Beginner Level,Web / FrontEnd,-,HTML
30261,"Kids Coding -Introduction to HTML, CSS and JavaScript",https://www.udemy.com/kids-coding-introduction-to-html-css-and-javascript/,Expert Level,Web / FrontEnd,-,javascript
30318,Learning JavaScript Programming Tutorial. A Definitive Guide,https://www.udemy.com/programming-javascript/,Beginner Level,Web / FrontEnd,-,javascript
32649,PHP & MySQL - Learn The Easy Way. Master PHP & MySQL Quickly,https://www.udemy.com/learning-php-and-mysql-development-the-easy-way/,Beginner Level,Data Analysis,SQL,-
37684,Learn To Program JavaScript (in ten easy steps),https://www.udemy.com/learn-to-program-javascript-in-ten-easy-steps/,Beginner Level,Web / FrontEnd,-,javascript
41295,Learn HTML5 Programming From Scratch,https://www.udemy.com/learn-html5-programming-from-scratch/,Beginner Level,Web / FrontEnd,-,HTML
45006,Introduction to Java for Programmers,https://www.udemy.comhttps://www.udemy.com/course/introduction-to-java-programming/,Beginner Level,Mobile,-,Java
45226,Learn Java From Scratch,https://www.udemy.comhttps://www.udemy.com/course/learn-java-from-scratch/,Beginner Level,Mobile,-,Java
49340,The Ultimate Java 9 Tutorial - From beginner to professional,https://www.udemy.comhttps://www.udemy.com/course/java-basics-for-j2ee-and-android/,Beginner Level,Mobile,-,Java
50587,HTML & CSS From Scratch in 30 Days,https://www.udemy.com/html5-css3-responsive/,Beginner Level,Web / FrontEnd,-,CSS
53256,Bootstrap Basics: Program Responsive Websites,https://www.udemy.com/code-responsive-website-twitter-bootstrap/,Beginner Level,Web / FrontEnd,Bootstrap,-
56585,Twitter Bootstrap 2 for Beginners,https://www.udemy.com/twitter-bootstrap/,Beginner Level,Web / FrontEnd,Bootstrap,-
58653,How to Build a CMS with PHP,https://www.udemy.com/make-a-cms/,Expert Level,Backend,PHP,-
59535,HTML for Beginners,https://www.udemy.com/hmtl5-training/,Beginner Level,Web / FrontEnd,-,HTML
60792,Learn to Use jQuery UI Widgets,https://www.udemy.com/learn-to-use-jquery-ui-widgets/,Expert Level,Web / FrontEnd,jQuery,-
63612,1 Hour JavaScript,https://www.udemy.com/1-hour-javascript/,Beginner Level,Web / FrontEnd,-,javascript
64422,1 Hour HTML,https://www.udemy.com/1-hour-html/,Beginner Level,Web / FrontEnd,-,HTML
64605,1 Hour CSS,https://www.udemy.com/1-hour-css/,Beginner Level,Web / FrontEnd,-,CSS
65330,Web Development By Doing: HTML / CSS From Scratch,https://www.udemy.com/web-development-learn-by-doing-html5-css3-from-scratch-introductory/,Beginner Level,Web / FrontEnd,-,HTML
65492,Kids Coding - Beginner HTML,https://www.udemy.com/kids-coding-beginner-html/,Beginner Level,Web / FrontEnd,-,HTML
65493,Kids Coding - Beginners CSS,https://www.udemy.com/kids-coding-beginners-css/,Beginner Level,Web / FrontEnd,-,CSS
72262,1 hour jQuery,https://www.udemy.com/1-hour-jquery/,Beginner Level,Web / FrontEnd,jQuery,-
73080,Step-by-step HTML and CSS for Absolute Beginners,https://www.udemy.com/step-by-step-html-and-css-for-absolute-beginners/,Beginner Level,Web / FrontEnd,-,HTML
77642,Learn HTML 5 in 1 hour,https://www.udemy.com/learn-html-5-in-1-hour/,Beginner Level,Web / FrontEnd,-,HTML
