course_id,course_title,url,level,subject,FrameWork,Language
197836,Projects in HTML5,https://www.udemy.com/projects-in-html5/,Beginner Level,Web / FrontEnd,-,HTML
1094964,Build Your Own Backend REST API using Django REST Framework,https://www.udemy.com/django-python/,Beginner Level,Backend,Django ,-
1009452,Build Enterprise Applications with Angular 2 (and Angular 4),https://www.udemy.com/angular2-advanced/,Beginner Level,Web / FrontEnd,Angular,-
1111844,Build a Single Page Application with jQuery & AJAX,https://www.udemy.com/jquery-ajax/,Beginner Level,JavaScript Library,jQuery,-
1256136,Angular 4 Development Decoded,https://www.udemy.com/marutiangular4/,Beginner Level,Web / FrontEnd,Angular,-
1124970,Javascript ES6! A Complete Reference Guide to Javascript ES6,https://www.udemy.com/javascript-es6-a-complete-reference-guide-to-javascript-es6/,Beginner Level,Web / FrontEnd,-,javascript
771198,Reactive JS:  Are you ready for the next big paradigm shift?,https://www.udemy.com/reactive-js-getting-ready-for-the-next-big-paradigm-shift/,Beginner Level,Web / FrontEnd,React,-
897146,"Become a Full Stack Developer with Spring, AWS and Stripe",https://www.udemy.com/become-a-full-stack-developer-with-spring-aws-and-stripe/,Beginner Level,Java,Spring,-
917724,Learn JavaScript for Web Development,https://www.udemy.com/javascript-learn-javascript-essentials-and-build-project/,Beginner Level,Web / FrontEnd,-,javascript
883002,Learn Angular 2 Development By Building 12 Apps,https://www.udemy.com/learn-angular-2-development-by-building-10-apps/,Beginner Level,Web / FrontEnd,Angular,-
412952,AngularJS For ASP.NET MVC Developers,https://www.udemy.com/angularjs-for-aspnet-mvc-developers/,Beginner Level,Web / FrontEnd,Angular,-
1033944,Serverless Workflow Management with AWS Step Functions,https://www.udemy.com/aws-step-functions/,Beginner Level,Cloud,AWS,-
993754,Django Core | A Reference Guide to Core Django Concepts,https://www.udemy.com/django-core/,Beginner Level,Backend,Django ,-
712960,"Angular 4 - Concepts, Code and Collective Wisdom",https://www.udemy.com/angular-2-concepts-code-and-collective-wisdom/,Beginner Level,Web / FrontEnd,Angular,-
304490,A 13 Hour SQL Server 2014 /ASP.NET/CSS/C#/jQuery Course,https://www.udemy.com/learnsqlwithsqlserver2014/,Beginner Level,Data Analysis,SQL,-
711592,Using Modern JavaScript Today,https://www.udemy.com/using-modern-javascript/,Beginner Level,Web / FrontEnd,-,javascript
929130,Angular 4: From Theory to Practice & FREE E-Book,https://www.udemy.com/angular-2-from-theory-to-practice/,Beginner Level,Web / FrontEnd,Angular,-
226534,WordPress Backup And Restore Fundamentals,https://www.udemy.com/wordpress-backup-and-restore-fundamentals/,Beginner Level,WordPress,WordPress,-
531290,"Essential JavaScript, jQuery and AngularJS Training",https://www.udemy.com/essential-javascript-jquery-angularjs-training/,Beginner Level,Web / FrontEnd,-,javascript
1236746,WordPress Tips and Tricks,https://www.udemy.com/wordpress-tips-and-tricks/,Beginner Level,WordPress,WordPress,-
1183094,"ASP.NET Core MVC, Quick and Practical",https://www.udemy.com/aspnet-core-mvc-quick-and-practical/,Beginner Level,Backend,.NET,C#
445534,Learn AngularJS Step By Step,https://www.udemy.com/maruti-angularjs/,Beginner Level,Web / FrontEnd,Angular,-
