course_id,course_title,url,level,subject,FrameWork,Language
28295,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,All Levels,Web / FrontEnd,-,HTML
19603,Learning Dynamic Website Design - PHP MySQL and JavaScript,https://www.udemy.com/learning-dynamic-website-design/,All Levels,Data Analysis,SQL,-
889438,ChatBots: Messenger ChatBot with API.AI and Node.JS,https://www.udemy.com/chatbots/,All Levels,Backend,Nodejs,-
197836,Projects in HTML5,https://www.udemy.com/projects-in-html5/,Intermediate Level,Web / FrontEnd,-,HTML
505208,Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,https://www.udemy.com/html-css-more/,Beginner Level,Web / FrontEnd,-,HTML
1086834,How To Make A Wordpress Website 2017 | Divi Theme Tutorial,https://www.udemy.com/how-to-make-a-wordpress-website-2017-divi-theme-tutorial/,Beginner Level,WordPress,WordPress,-
1094964,Build Your Own Backend REST API using Django REST Framework,https://www.udemy.com/django-python/,Intermediate Level,Backend,Django ,-
965870,Angular and Firebase - Build a Web App with Typescript,https://www.udemy.com/angular-firebase-application/,All Levels,Web / FrontEnd,Angular,-
1078208,Spring Boot Tutorial For Beginners,https://www.udemy.com/spring-boot-tutorial-for-beginners/,Beginner Level,Java,Spring,Java
642410,The Complete Bootstrap Masterclass Course - Build 4 Projects,https://www.udemy.com/bootstrapcourse/,All Levels,Web / FrontEnd,Bootstrap,-
785388,Scaling Docker on AWS,https://www.udemy.com/scaling-docker-on-aws/,All Levels,Desktop,Docker,-
1146014,Learn JavaScript for beginners,https://www.udemy.com/learn-javascript-course/,Beginner Level,Web / FrontEnd,-,javascript
8325,HTML Tutorial: HTML & CSS for Beginners,https://www.udemy.com/learn-html5/,All Levels,Web / FrontEnd,-,HTML
159070,Introduction to Web Development: HTML,https://www.udemy.com/webdevelopment101_html/,Beginner Level,Web / FrontEnd,-,HTML
1089744,How To Make A Wordpress Website 2017 - Divi Theme Tutorial,https://www.udemy.com/how-to-make-a-wordpress-website-2017-divi-theme-tutorial-for-beginners/,Beginner Level,WordPress,WordPress,-
