Job Title,Company Name,Company Location,Job Time,Job Location,Posting Date,Requirement,Job URL,Speciality,skills,skills_text,cleaned_skills,cleaned_skills_v2,cleaned_skills_text_v2
Product Manager,HiRemoters ,"Cairo, Egypt",Full Time,Remote,2 hours ago,Experienced · 2 - 5 Yrs of Exp · males_preferred · IT/Software Development · Project/Program Management · Product Management · Agile Methodologies · Remote Team Collaboration · User Experience (UX) · Stakeholder Management · Strategic Planning,https://wuzzuf.net/jobs/p/rmh8xrbfyy7d-product-manager-hiremoters-cairo-egypt,Software Engineer,"['experienced', 'males_preferred', 'it/software development', 'project/program management', 'product management', 'agile methodologies', 'remote team collaboration', 'user experience (ux)', 'stakeholder management', 'strategic planning']",experienced males_preferred it/software development project/program management product management agile methodologies remote team collaboration user experience (ux) stakeholder management strategic planning,it/software development project/program management product agile methodologies remote team collaboration user experience ux stakeholder strategic planning,"['project/program management', 'product management', 'agile methodologies', 'remote team collaboration', 'user experience (ux)', 'stakeholder management', 'strategic planning']",project/program management product management agile methodologies remote team collaboration user experience (ux) stakeholder management strategic planning
Junior Odoo Implementer,ITSS ,"Maadi, Cairo, Egypt",Full Time,On-site,2 hours ago,Entry Level · 0 - 1 Yrs of Exp · Accounting/Finance · IT/Software Development · Odoo ERP · User Training · Problem Solving · Client Communication · Technical Documentation · Team Collaboration · Attention to Detail · Business Process Analy,https://wuzzuf.net/jobs/p/ipdeb66objjo-junior-odoo-implementer-itss-cairo-egypt,Backend,"['entry level', 'accounting/finance', 'it/software development', 'odoo erp', 'user training', 'problem solving', 'client communication', 'technical documentation', 'team collaboration', 'attention to detail', 'business process analysis']",entry level accounting/finance it/software development odoo erp user training problem solving client communication technical documentation team collaboration attention to detail business process analysis,entry level accounting/finance it/software development odoo erp user training problem solving client communication technical documentation team collaboration attention to detail business process analysis,"['accounting/finance', 'odoo erp', 'user training', 'problem solving', 'client communication', 'technical documentation', 'team collaboration', 'attention to detail', 'business process analysis']",accounting/finance odoo erp user training problem solving client communication technical documentation team collaboration attention to detail business process analysis
IOS Developer,Informatique Education ,"Nasr City, Cairo, Egypt",Full Time,On-site,1 hour ago,Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · iOS Development · UI/UX · Debugging · coding · Swift · SwiftUI · Xcode · Git · Github,https://wuzzuf.net/jobs/p/2pstpcg2djbu-ios-developer-informatique-education-cairo-egypt,Mobile,"['entry level', 'it/software development', 'ios development', 'ui/ux', 'debugging', 'coding', 'swift', 'swiftui', 'xcode', 'git', 'github']",entry level it/software development ios development ui/ux debugging coding swift swiftui xcode git github,entry level it/software development ios ui/ux debugging coding swift swiftui xcode git github,"['ios development', 'ui/ux', 'debugging', 'coding', 'swift', 'swiftui', 'xcode', 'git', 'github']",ios development ui/ux debugging coding swift swiftui xcode git github
Senior IT Presales Engineer,SURE International Technology ,"Nasr City, Cairo, Egypt",Full Time,Hybrid,1 hour ago,Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Presales Engineering · IT presales,https://wuzzuf.net/jobs/p/uu3soq6e39qd-senior-it-presales-engineer-sure-international-technology-cairo-egypt,Full Stack,"['experienced', 'it/software development', 'sales/retail', 'presales engineering', 'it presales']",experienced it/software development sales/retail presales engineering it presales,it/software development presales,"['presales engineering', 'it presales']",presales engineering it presales
Software Testing Engineer,realme ,"Nasr City, Cairo, Egypt",Full Time,On-site,55 minutes ago,Entry Level · 0 - 2 Yrs of Exp · males_only · IT/Software Development · Quality · Engineering - Telecom/Technology · Communication · Information Technology (IT) · Software Development · Software · Engineering · Testing · Electronic,https://wuzzuf.net/jobs/p/1lmgynsvnon3-software-testing-engineer-realme-cairo-egypt,Software Tester,"['entry level', 'it/software development', 'quality', 'communication', 'testing', 'electronic']",entry level it/software development quality communication testing electronic,entry level it/software development quality communication testing electronic,"['quality', 'communication', 'testing', 'electronic']",quality communication testing electronic
SAP Business One Developer,Confidential ,"6th of October, Giza, Egypt",Full Time,On-site,1 hour ago,Experienced · 1+ Yrs of Exp · IT/Software Development · SAP B1 · SAP Business One Admin · MS SQL · Crystal Reports · SQL · Finance · Develop,https://wuzzuf.net/jobs/p/r4af4ske3jpg-sap-business-one-developer-giza-egypt,Data Analysis,"['experienced', 'it/software development', 'sap b1', 'sap business one admin', 'ms sql', 'crystal reports', 'sql', 'finance', 'develop']",experienced it/software development sap b1 sap business one admin ms sql crystal reports sql finance develop,it/software development sap b1 business one admin ms sql crystal reports finance develop,"['sap b1', 'sap business one admin', 'ms sql', 'crystal reports', 'sql', 'finance', 'develop']",sap b1 sap business one admin ms sql crystal reports sql finance develop
Network and IT Technical Support Engineer,Confidential ,"6th of October, Giza, Egypt",Full Time,On-site,1 hour ago,Experienced · 0 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software · Software Development · Software Engineering · Operations · TCP,https://wuzzuf.net/jobs/p/sbzcbczgqpq7-network-and-it-technical-support-engineer-giza-egypt,Backend,"['experienced', 'installation/maintenance/repair', 'it/software development', 'computer science', 'operations', 'tcp']",experienced installation/maintenance/repair it/software development computer science operations tcp,it/software development computer science operations tcp,"['computer science', 'operations', 'tcp']",computer science operations tcp
Senior Software Sales Executive,Psystems  ,"Nasr City, Cairo, Egypt",Full Time,On-site,2 hours ago,Experienced · 3+ Yrs of Exp · Customer Service/Support · IT/Software Development · Sales/Retail · Software Sales · Sales Field · Selling · Software Development · Information Technology (IT) · Software Solutions · Software Sy,https://wuzzuf.net/jobs/p/dxxcrx1pf3in-senior-software-sales-executive-psystems-cairo-egypt,Full Stack,"['experienced', 'customer service/support', 'it/software development', 'sales/retail', 'software sales', 'software solutions', 'software systems']",experienced customer service/support it/software development sales/retail software sales software solutions software systems,customer service/support it/software development sales solutions systems,"['software sales', 'software solutions', 'software systems']",software sales software solutions software systems
IT Help Desk Internship,AJE ,"6th of October, Giza, Egypt",Internship,On-site,3 hours ago,Student · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Technical troubleshooting · IT ticketing systems · Problem-solving · Windows/Mac OS proficiency,https://wuzzuf.net/internship/svx7cbsgaf8l-it-help-desk-internship-aje-giza-egypt,Quality Control,"['student', 'installation/maintenance/repair', 'it/software development', 'technical troubleshooting', 'it ticketing systems', 'problem-solving', 'windows/mac os proficiency']",student installation/maintenance/repair it/software development technical troubleshooting it ticketing systems problem-solving windows/mac os proficiency,it/software development technical troubleshooting ticketing systems problemsolving windows/mac os proficiency,"['technical troubleshooting', 'it ticketing systems', 'problem-solving', 'windows/mac os proficiency']",technical troubleshooting it ticketing systems problem-solving windows/mac os proficiency
Developer & Technical Specialist [ Remote],OMD Growth ,"Alexandria, Egypt",Full Time,Remote,14 hours ago,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Website Development · Technical Support · Technical Documentation · automations,https://wuzzuf.net/jobs/p/qvsxgv5hqepk-developer-technical-specialist-remote-omd-growth-alexandria-egypt,Full Stack,"['experienced', 'it/software development', 'website development', 'technical support', 'technical documentation', 'automations']",experienced it/software development website development technical support technical documentation automations,it/software development website technical support documentation automations,"['website development', 'technical support', 'technical documentation', 'automations']",website development technical support technical documentation automations
